Hz,dB(vout/vin)
434510.21875,-16.8723983764648
435511.875,-16.8722629547119
436515.84375,-16.8721256256104
437522.09375,-16.8719882965088
438530.6875,-16.8718490600586
439541.625,-16.8717098236084
440554.875,-16.8715705871582
441570.4375,-16.8714294433594
442588.375,-16.8712882995605
443608.65625,-16.8711471557617
444631.28125,-16.8710060119629
445656.25,-16.8708629608154
446683.59375,-16.870719909668
447713.3125,-16.8705749511719
448745.375,-16.8704299926758
449779.84375,-16.8702850341797
450816.71875,-16.870138168335
451855.9375,-16.8699913024902
452897.59375,-16.8698444366455
453941.625,-16.8696956634521
454988.0625,-16.8695468902588
456036.90625,-16.8693962097168
457088.1875,-16.8692474365234
458141.875,-16.8690967559814
459198,-16.8689441680908
460256.5625,-16.8687915802002
461317.5625,-16.8686389923096
462381.03125,-16.8684844970703
463446.90625,-16.8683300018311
464515.28125,-16.8681755065918
465586.09375,-16.8680191040039
466659.375,-16.867862701416
467735.15625,-16.8677062988281
468813.375,-16.8675479888916
469894.09375,-16.8673896789551
470977.3125,-16.8672294616699
472063.03125,-16.8670692443848
473151.25,-16.866907119751
474242,-16.8667449951172
475335.21875,-16.8665828704834
476431,-16.8664207458496
477529.28125,-16.8662567138672
478630.09375,-16.8660926818848
479733.4375,-16.8659267425537
480839.34375,-16.865758895874
481947.8125,-16.865592956543
483058.8125,-16.8654251098633
484172.375,-16.865255355835
485288.5,-16.8650875091553
486407.21875,-16.8649158477783
487528.5,-16.86474609375
488652.34375,-16.864574432373
489778.8125,-16.8644008636475
490907.875,-16.8642292022705
492039.53125,-16.8640537261963
493173.8125,-16.8638782501221
494310.6875,-16.8637027740479
495450.1875,-16.8635272979736
496592.3125,-16.8633499145508
497737.09375,-16.8631706237793
498884.5,-16.8629913330078
500034.53125,-16.8628120422363
501187.21875,-16.8626308441162
502342.59375,-16.8624496459961
503500.59375,-16.862268447876
504661.3125,-16.8620853424072
505824.65625,-16.8619003295898
506990.71875,-16.8617153167725
508159.4375,-16.8615303039551
509330.875,-16.8613433837891
510505,-16.861156463623
511681.84375,-16.8609676361084
512861.375,-16.8607788085938
514043.65625,-16.8605880737305
515228.65625,-16.8603973388672
516416.375,-16.8602046966553
517606.84375,-16.8600120544434
518800.03125,-16.8598194122314
519996,-16.8596248626709
521194.71875,-16.8594303131104
522396.1875,-16.8592338562012
523600.4375,-16.8590354919434
524807.4375,-16.8588390350342
526017.25,-16.8586387634277
527229.875,-16.8584384918213
528445.25,-16.8582382202148
529663.4375,-16.8580360412598
530884.4375,-16.8578338623047
532108.25,-16.857629776001
533334.875,-16.8574256896973
534564.375,-16.8572196960449
535796.6875,-16.8570137023926
537031.8125,-16.8568058013916
538269.8125,-16.8565979003906
539510.625,-16.856388092041
540754.3125,-16.8561782836914
542000.875,-16.8559665679932
543250.3125,-16.8557548522949
544502.625,-16.855541229248
545757.875,-16.8553276062012
547015.9375,-16.8551120758057
548276.9375,-16.8548946380615
549540.875,-16.854679107666
550807.6875,-16.8544597625732
552077.4375,-16.8542423248291
553350.125,-16.8540210723877
554625.6875,-16.8537998199463
555904.25,-16.8535785675049
557185.75,-16.8533535003662
558470.1875,-16.8531303405762
559757.625,-16.8529033660889
561048,-16.8526782989502
562341.3125,-16.8524513244629
563637.625,-16.852222442627
564937,-16.8519916534424
566239.3125,-16.8517627716064
567544.625,-16.8515300750732
568852.9375,-16.85129737854
570164.25,-16.8510646820068
571478.625,-16.850830078125
572796,-16.8505935668945
574116.4375,-16.8503570556641
575439.9375,-16.850118637085
576766.4375,-16.8498783111572
578096.0625,-16.8496379852295
579428.6875,-16.8493976593018
580764.4375,-16.8491535186768
582103.1875,-16.8489112854004
583445.125,-16.8486671447754
584790.0625,-16.8484210968018
586138.1875,-16.8481731414795
587489.375,-16.8479251861572
588843.625,-16.8476753234863
590201.0625,-16.8474254608154
591561.625,-16.8471736907959
592925.3125,-16.8469200134277
594292.1875,-16.8466663360596
595662.125,-16.8464107513428
597035.3125,-16.846155166626
598411.625,-16.8458976745605
599791.0625,-16.8456401824951
601173.75,-16.8453788757324
602559.5625,-16.8451175689697
603948.625,-16.844856262207
605340.875,-16.8445911407471
606736.3125,-16.8443279266357
608135,-16.8440608978271
609536.875,-16.8437938690186
610942,-16.84352684021
612350.375,-16.8432559967041
613762,-16.8429851531982
615176.875,-16.8427124023438
616595,-16.8424396514893
618016.375,-16.8421649932861
619441.0625,-16.8418884277344
620869.0625,-16.8416118621826
622300.3125,-16.8413333892822
623734.8125,-16.8410549163818
625172.6875,-16.8407726287842
626613.875,-16.8404903411865
628058.375,-16.8402080535889
629506.1875,-16.8399219512939
630957.375,-16.839635848999
632411.875,-16.8393478393555
633869.6875,-16.8390598297119
635330.9375,-16.8387699127197
636795.5,-16.8384780883789
638263.5,-16.8381843566895
639734.8125,-16.837890625
641209.5625,-16.8375949859619
642687.6875,-16.8372974395752
644169.25,-16.8369998931885
645654.25,-16.8367004394531
647142.625,-16.8363990783691
648634.4375,-16.8360958099365
650129.6875,-16.8357925415039
651628.375,-16.8354873657227
653130.5625,-16.8351802825928
654636.1875,-16.8348731994629
656145.25,-16.8345623016357
657657.8125,-16.8342514038086
659173.875,-16.8339385986328
660693.4375,-16.833625793457
662216.5,-16.833309173584
663743.0625,-16.8329925537109
665273.125,-16.8326759338379
666806.75,-16.8323554992676
668343.9375,-16.8320331573486
669884.625,-16.8317108154297
671428.875,-16.8313865661621
672976.6875,-16.8310623168945
674528,-16.8307342529297
676083,-16.8304061889648
677641.5,-16.8300762176514
679203.625,-16.8297443389893
680769.375,-16.8294105529785
682338.6875,-16.8290767669678
683911.625,-16.8287410736084
685488.25,-16.8284015655518
687068.4375,-16.8280620574951
688652.3125,-16.8277225494385
690239.8125,-16.8273792266846
691831,-16.8270359039307
693425.8125,-16.8266887664795
695024.3125,-16.8263416290283
696626.5,-16.8259944915771
698232.375,-16.8256435394287
699842,-16.8252906799316
701455.3125,-16.8249378204346
703072.3125,-16.8245811462402
704693.0625,-16.8242244720459
706317.5625,-16.8238658905029
707945.8125,-16.8235054016113
709577.75,-16.8231430053711
711213.5,-16.8227806091309
712853,-16.8224143981934
714496.3125,-16.8220481872559
716143.4375,-16.8216800689697
717794.3125,-16.8213081359863
719449,-16.8209362030029
721107.5,-16.8205623626709
722769.8125,-16.8201866149902
724435.9375,-16.8198089599609
726105.9375,-16.8194313049316
727779.8125,-16.8190498352051
729457.5,-16.8186683654785
731139.0625,-16.8182830810547
732824.5625,-16.8178977966309
734513.875,-16.8175106048584
736207.125,-16.8171195983887
737904.25,-16.8167285919189
739605.25,-16.8163356781006
741310.25,-16.8159408569336
743019.125,-16.815544128418
744732,-16.8151454925537
746448.75,-16.8147449493408
748169.5,-16.8143424987793
749894.1875,-16.8139381408691
751622.875,-16.8135318756104
753355.5625,-16.8131237030029
755092.25,-16.8127136230469
756832.875,-16.8123016357422
758577.5625,-16.8118877410889
760326.25,-16.8114738464355
762079,-16.811056137085
763835.8125,-16.8106365203857
765596.625,-16.8102149963379
767361.5,-16.8097915649414
769130.4375,-16.8093662261963
770903.5,-16.8089389801025
772680.5625,-16.8085098266602
774461.8125,-16.8080787658691
776247.125,-16.8076457977295
778036.5625,-16.8072109222412
779830.125,-16.8067741394043
781627.8125,-16.8063354492188
783429.625,-16.8058948516846
785235.625,-16.8054504394531
787045.8125,-16.8050060272217
788860.125,-16.804557800293
790678.625,-16.8041095733643
792501.3125,-16.8036575317383
794328.25,-16.8032035827637
796159.375,-16.8027496337891
797994.6875,-16.8022899627686
